,precision,recall,f1-score,support
Negative,0.7090826314591395,0.7842396777442094,0.7447698744769874,3972.0
Neutral,0.7393731988472623,0.6914266464544383,0.7145965706327791,5937.0
Positive,0.7178281316802052,0.7069473684210527,0.7123462028001697,2375.0
accuracy,0.7244382937154021,0.7244382937154021,0.7244382937154021,0.7244382937154021
macro avg,0.7220946539955357,0.7275378975399002,0.7239042159699788,12284.0
weighted avg,0.7254132779593281,0.7244382937154021,0.723917943090183,12284.0
